mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	2.75	-1	4/4	11/16	5/16		1			firstMeasure	2
2	1	11/4	4.0	-1	4/4	1	0						3
3	2	27/4	4.0	-1	4/4	1	0						4
4	3	43/4	4.0	-1	4/4	1	0						5
5	4	59/4	4.0	-1	4/4	1	0						6
6	5	75/4	4.0	-1	4/4	1	0						7
7	6	91/4	1.25	-1	4/4	5/16	0					end	1, 8
8	6	24	2.75	-1	4/4	11/16	5/16		1	start-repeat		start	9
9	7	107/4	4.0	-1	4/4	1	0						10
10	8	123/4	4.0	-1	4/4	1	0						11
11	9	139/4	4.0	-1	4/4	1	0						12
12	10	155/4	4.0	-1	4/4	1	0						13
13	11	171/4	4.0	-1	4/4	1	0						14
14	12	187/4	4.0	-1	4/4	1	0						15
15	13	203/4	1.25	-1	4/4	5/16	0					end	8, -1
